"Customer Segments","Customer Segments"
"Segments","Segments"
"Manage Customer Segments","Manage Customer Segments"
"Create New Segment","Create New Segment"
"Edit Segment","Edit Segment"
"Delete Segment","Delete Segment"
"Refresh Segment","Refresh Segment"
"Segment Information","Segment Information"
"Segment Name","Segment Name"
"Description","Description"
"Active","Active"
"Refresh Mode","Refresh Mode"
"Cron Expression","Cron Expression"
"Example: 0 2 * * * (daily at 2 AM)","Example: 0 2 * * * (daily at 2 AM)"
"Customer Count","Customer Count"
"Last Refreshed","Last Refreshed"
"Conditions","Conditions"
"Matched Customers","Matched Customers"
"Refresh","Refresh"
"Save","Save"
"Delete","Delete"
"Back","Back"
"Are you sure you want to delete this segment?","Are you sure you want to delete this segment?"
"Segment saved successfully.","Segment saved successfully."
"Segment deleted successfully.","Segment deleted successfully."
"Segment refreshed successfully.","Segment refreshed successfully."
"Total Records: %1","Total Records: %1"
"No customers found for this segment.","No customers found for this segment."
"No customers currently match this segment criteria.","No customers currently match this segment criteria."
"Please save the segment first to see matched customers.","Please save the segment first to see matched customers."
"Try refreshing the segment or adjusting the conditions.","Try refreshing the segment or adjusting the conditions."
"is","is"
"is not","is not"
"after","after"
"before","before"
"equals or after","equals or after"
"equals or before","equals or before"
"between","between"
"equals","equals"
"does not equal","does not equal"
"greater than","greater than"
"less than","less than"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"is one of","is one of"
"is not one of","is not one of"
"contains","contains"
"does not contain","does not contain"
"starts with","starts with"
"ends with","ends with"
"Email","Email"
"First Name","First Name"
"Last Name","Last Name"
"Date of Birth","Date of Birth"
"Gender","Gender"
"Tax/VAT Number","Tax/VAT Number"
"Website","Website"
"Store View","Store View"
"Customer Group","Customer Group"
"Account Created","Account Created"
"Total Orders","Total Orders"
"Total Revenue","Total Revenue"
"Average Order Value","Average Order Value"
"Total Items","Total Items"
"First Order Date","First Order Date"
"Last Order Date","Last Order Date"
"Used Coupon","Used Coupon"
"Payment Method","Payment Method"
"Shipping Method","Shipping Method"
"Order Status","Order Status"
"Cart Total","Cart Total"
"Cart Items Count","Cart Items Count"
"Cart Coupon","Cart Coupon"
"Viewed Categories","Viewed Categories"
"Purchased Products","Purchased Products"
"Purchased Categories","Purchased Categories"
"Wishlist Items Count","Wishlist Items Count"
"ID","ID"
"Name","Name"
"City","City"
"Region","Region"
"Country","Country"
"Customer Since","Customer Since"
"Manual","Manual"
"Scheduled","Scheduled"
"Real-time","Real-time"
"Could not save segment: %1","Could not save segment: %1"
"Segment with id %1 does not exist.","Segment with id %1 does not exist."
"Customer is already assigned to this segment.","Customer is already assigned to this segment."
"Customer is not assigned to this segment.","Customer is not assigned to this segment."
"Customer Segment","Customer Segment"
"Segment","Segment"
"is in segment","is in segment"
"is not in segment","is not in segment"
